�ܺ�t	nr
暗疮 nd
粉刺 nd
米疮 nd
青春籽 nd
暗疱 nd
青春痘 nd
黑头 nd
酒米 nd
胃溃疡 nd
直肠癌 nd
白癜风 nd
白癜 nd
白驳风 nd
包皮过长 nd
精索静脉曲张 nd
肺结核 nd
肺结核病 nd
结核病 nd
结核 nd
肺痨 nd
灰指甲 nd
甲真菌病 nd
肺炎 nd
下呼吸道感染 nd
肺部感染性疾病 nd
白血病 nd
血癌 nd
脑梗塞 nd
脑栓塞 nd
脑血栓形成 nd
贫血 nd
红斑狼疮 nd
甲型H1N1流感 nd
甲流 nd
猪流感 nd
子宫内膜异位症 nd
子宫腺肌病 nd
内在性子宫内膜异位症 nd
神经衰弱 nd
神经衰弱症 nd
神劳 nd
尿道炎 nd
近视眼 nd
近视 nd
屈光不正 nd
支原体感染 nd
骨质增生 nd
增生性骨关节炎 nd
退变性关节病 nd
老年性关节炎 nd
肥大性关节炎 nd
偏头痛 nd
偏头风 nd
早孕反应 nd
妊娠剧吐 nd
妊娠反应 nd
反流性食管炎 nd
胃食管反流病 nd
食管瘅 nd
性冷淡 nd
性欲减退 nd
幽门螺杆菌感染 nd
幽门螺旋杆菌感染 nd
外阴炎 nd
细菌性外阴炎 nd
多囊卵巢综合征 nd
小儿发烧 nd
小儿高热 nd
小儿发热 nd
哮喘 nd
支气管哮喘 nd
不孕症 nd
不孕不育 nd
不孕 nd
女性不孕 nd
心肌炎 nd
新生儿黄疸 nd
新生儿生理性黄疸 nd
胎黄 nd
阴虱病 nd
腹泻 nd
泻肚子 nd
拉肚子 nd
附睾炎 nd
中风 nd
脑卒中 nd
脑血管意外 nd
脑血管病 nd
过敏性紫癜 nd
亨诺-许兰综合征 nd
葡萄疫 nd
血风疮 nd
地中海贫血 nd
地贫 nd
海洋性贫血 nd
珠蛋白生成障碍性贫血 nd
肝硬化 nd
麦粒肿 nd
针眼 nd
眼睑炎 nd
慢性胆囊炎 nd
胆囊炎 nd
胆胀 nd
慢性肾炎 nd
慢性肾小球肾炎 nd
肾炎 nd
口臭 nd
口气 nd
口腔异味 nd
尿毒症 nd
霉菌性外阴炎 nd
念珠菌外阴炎 nd
婴幼儿腹泻 nd
骨质疏松 nd
骨质疏松症 nd
股骨头坏死 nd
心绞痛 nd
冠心病 nd
缺血性心脏病 nd
精神分裂症 nd
小儿肺炎 nd
低血压 nd
血压过低 nd
胆囊息肉 nd
胆囊息肉样病变 nd
胆囊隆起性病变 nd
青光眼 nd
绿风内障 nd
急性胃肠炎 nd
急性肠胃炎 nd
结肠癌 nd
食管癌 nd
膈症 nd
食道癌 nd
噎膈 nd
扁平疣 nd
瘊子 nd
白内障 nd
老年性白内障 nd
年龄相关性白内障 nd
麻疹 nd
原发性肝癌 nd
肝癌 nd
低血糖 nd
小儿急性支气管炎 nd
小儿外感咳嗽 nd
脱发 nd
掉头发 nd
急性胰腺炎 nd
胰腺炎 nd
胰瘅 nd
鼻咽癌 nd
石上疽 nd
子宫内膜癌 nd
子宫体癌 nd
子宫癌 nd
肠梗阻 nd
肾积水 nd
慢性宫颈炎 nd
慢性子宫颈炎 nd
强直性脊柱炎 nd
类风湿性脊柱炎 nd
畸形性脊柱炎 nd
类风湿中心型 nd
龟背 nd
闭经 nd
下丘脑-垂体-卵巢轴功能或器质性病变 nd
牙周病 nd
鹅口疮 nd
白念菌病 nd
脑出血 nd
脑溢血 nd
睾丸炎 nd
附睾-睾丸炎 nd
肺气肿 nd
阻塞性肺气肿 nd
终末细支气管远端部分慢性支气管炎 nd
慢阻肺 nd
植物神经功能紊乱 nd
植物神经功能失调 nd
甲状腺癌 nd
恶性甲状腺肿 nd
石瘿 nd
血管瘤 nd
乳房纤维瘤 nd
乳房瘤 nd
纤维瘤 nd
肛裂 nd
流行性感冒 nd
流感 nd
动脉硬化 nd
动脉粥样硬化 nd
毛囊炎 nd
肾虚 nd
缺铁性贫血 nd
痿黄 nd
肝囊肿 nd
焦虑症 nd
焦虑性神经症 nd
焦虑障碍 nd
多毛状小阴唇 nd
女阴多毛状乳头瘤 nd
女阴假性湿疣 nd
女阴乳头状多毛症 nd
前列腺癌 nd
膀胱炎 nd
非淋菌性尿道炎 nd
肾囊肿 nd
单纯性肾囊肿 nd
孤立性肾囊肿 nd
红眼病 nd
急性卡他性结膜炎 nd
火眼 nd
红眼 nd
生殖器念珠菌病 nd
念珠菌性外阴阴道炎 nd
念珠菌性龟头包皮炎 nd
阴茎异常勃起 nd
强中 nd
淋巴癌 nd
恶性淋巴瘤 nd
狂犬病 nd
恐水症 nd
龟头炎 nd
龟头黏膜炎 nd
阴茎头炎 nd
银屑病 nd
牛皮癣 nd
白� nd
松皮癣 nd
神经性皮炎 nd
慢性单纯苔藓 nd
胆汁返流性胃炎 nd
碱性返流性胃炎 nd
风湿性关节炎 nd
关节炎 nd
卵巢癌 nd
症癜 nd
阴道炎 nd
大肠癌 nd
大肠恶性肿瘤 nd
脑血栓 nd
中风 nd
脑血栓形成 nd
分泌性中耳炎 nd
胶耳 nd
中耳炎 nd
渗出性中耳炎 nd
卡他性中耳炎 nd
非化脓性中耳炎 nd
黄褐斑 nd
肝斑 nd
心律失常 nd
心律不齐 nd
心律不整 nd
心律紊乱 nd
沙眼 nd
颗粒性结膜炎 nd
砂眼 nd
衣原体性结膜炎 nd
粟疮 nd
流行性腮腺炎 nd
蛤蟆瘟 nd
痄腮 nd
腮腺炎 nd
流腮 nd
鼻炎 nd
脂肪瘤 nd
萎缩性胃炎 nd
慢性萎缩性胃炎 nd
胃痞 nd
甲状腺功能减退 nd
甲减 nd
甲状腺功能减退症 nd
先天性心脏病 nd
先心病 nd
心脏病 nd
小儿先心病 nd
龋齿 nd
烂牙 nd
龋病 nd
虫牙 nd
蛀牙 nd
宫颈息肉 nd
子宫颈息肉 nd
十二指肠溃疡 nd
甲沟炎 nd
奶癣 nd
婴儿湿疹 nd
胎敛疮 nd
湿饮疮 nd
干敛疮 nd
湿饮疮 nd
胆囊炎 nd
肾病综合征 nd
肾病变综合征 nd
肾综 nd
肾水 nd
脂溢性皮炎 nd
脂溢性湿疹 nd
小儿厌食症 nd
消化功能紊乱 nd
窦性心动过速 nd
心动过速 nd
早搏 nd
过早搏动 nd
期前收缩 nd
期外收缩 nd
肛瘘 nd
鸡眼 nd
胼胝 nd
支气管扩张 nd
支气管扩张症 nd
支扩 nd
强迫症 nd
帕金森 nd
帕金森病 nd
震颤麻痹 nd
特发性帕金森病 nd
急性阑尾炎 nd
阑尾炎 nd
盲肠炎 nd
肠痈 nd
半月板损伤 nd
包茎 nd
禽流感 nd
H7N9 nd
H7N9禽流感 nd
人禽流感 nd
风疹 nd
病毒性风疹 nd
德国麻疹 nd
风痧 nd
红疹 nd
流行性蔷薇疹 nd
隐疹 nd
阴虚火旺 nd
中暑 nd
伤暑 nd
更年期综合征 nd
围绝经期综合征 nd
老年性阴道炎 nd
萎缩性阴道炎 nd
直肠息肉 nd
乳头内陷 nd
乳头凹陷 nd
慢性细菌性前列腺炎 nd
糖尿病和高血压 nd
卵巢早衰 nd
美尼尔氏综合症 nd
梅尼埃病 nd
小儿哮喘 nd
小儿支气管哮喘 nd
儿童期哮喘 nd
儿童哮喘 nd
股癣 nd
肝纤维化 nd
肝纤维变性 nd
佝偻病 nd
维生素D缺乏病 nd
维生素D缺乏性佝偻病 nd
骨软化 nd
骨软化病 nd
骨软化症 nd
骨质软化 nd
软骨病 nd
英吉利病 nd
功血 nd
异常性子宫出血 nd
功能性子宫出血 nd
喉癌 nd
喉疳 nd
消化性溃疡 nd
胃、十二指肠溃疡 nd
甲状腺腺瘤 nd
甲状腺瘤 nd
肝炎 nd
登革热 nd
波尔加热 nd
古典登革热 nd
五天热 nd
慢性胰腺炎 nd
胰胀 nd
胰腺癌 nd
症瘕 nd
再生障碍性贫血 nd
髓劳 nd
急性扁桃体炎 nd
喉蛾 nd
莲房蛾 nd
疣 nd
瘊子 nd
坚头肉 nd
结肠炎 nd
非特异性溃疡性结肠炎 nd
软下疳 nd
软下疳 nd
杜克雷嗜血杆菌感染 nd
自闭症 nd
自闭 nd
磨牙 nd
磨牙症 nd
夜磨牙 nd
颈部淋巴结结核 nd
结核病 nd
结核病 nd
瘰疬 nd
阿尔茨海默病 nd
老年痴呆 nd
老年痴呆症 nd
老年性痴呆 nd
老年前期痴呆 nd
AD nd
食物中毒 nd
食源性疾病 nd
支原体肺炎 nd
伊顿肺炎 nd
伊顿氏肺炎 nd
原发性非典型性肺炎 nd
肾癌 nd
肾细胞癌 nd
肾腺癌 nd
胃肠道功能紊乱 nd
胃肠神经官能症 nd
胃肠综合征 nd
不射精症 nd
支气管炎 nd
膀胱癌 nd
溺血 nd
肝癌 nd
百日咳 nd
疫咳 nd
顿咳 nd
疝气 nd
胃炎 nd
破伤风 nd
小儿急性喉炎 nd
喉炎 nd
精囊炎 nd
疥疮 nd
高尿酸血症 nd
痛风 nd
支气管肺炎 nd
小叶肺炎 nd
胰腺炎 nd
急性胃炎 nd
急性腐蚀性胃炎 nd
胃瘅 nd
处女膜闭锁 nd
风寒感冒 nd
外痔 nd
心脏神经官能症 nd
神经循环衰弱症 nd
糖尿病足 nd
子宫息肉 nd
黄疸 nd
高胆红素血症 nd
尿道结石 nd
尿路结石 nd
泌尿系结石 nd
石淋 nd
阴茎癌 nd
阴茎恶性肿瘤 nd
老年人颈性眩晕 nd
老年颈性眩晕 nd
肠炎 nd
脑动脉硬化症 nd
脑动脉硬化 nd
脑络痹 nd
亚急性甲状腺炎 nd
肉芽肿性甲状腺炎 nd
巨细胞性甲状腺炎 nd
瘿痈 nd
口腔癌 nd
慢性浅表性胃炎 nd
非萎缩性胃炎 nd
黑色素瘤 nd
黑色素细胞瘤 nd
色素病 nd
脱疽 nd
厉疽 nd
风湿性心脏病 nd
咽炎 nd
酒精性肝病 nd
酒精肝 nd
鼻出血 nd
鼻衄 nd
传染性软疣 nd
水瘊子 nd
慢性阑尾炎 nd
阑尾炎 nd
II型糖尿病 nd
2型糖尿病 nd
脑膜炎 nd
狐臭 nd
腋臭 nd
臭汗症 nd
宫颈炎 nd
耳聋 nd
聋 nd
听力障碍 nd
重听 nd
葡萄胎 nd
水泡状胎 nd
水泡状胎块 nd
窦性心动过缓 nd
人乳头瘤病毒感染 nd
人乳头瘤病毒 nd
人乳头状瘤病毒 nd
人疣病毒 nd
玫瑰糠疹 nd
风热疮 nd
骨折 nd
子宫肥大 nd
子宫肥大症 nd
鼻息肉 nd
鼻痔 nd
二期梅毒 nd
腱鞘炎 nd
子宫脱垂 nd
骨关节炎 nd
溃疡性结肠炎 nd
慢性非特异性溃疡性结肠炎 nd
结肠炎 nd
阑尾炎 nd
肾盂肾炎 nd
玻璃体混浊 nd
心脏病 nd
慢性边缘剥脱性舌炎 nd
游走性舌炎 nd
地图舌 nd
前庭大腺囊肿 nd
前庭大腺炎 nd
巴氏腺囊肿 nd
巴索林囊肿 nd
淋巴瘤 nd
耳鸣 nd
一期梅毒 nd
硬下疳 nd
非细菌性前列腺炎 nd
结膜炎 nd
气胸 nd
自发性气胸 nd
鼠标手 nd
迟发性正中神经麻痹 nd
腕管综合症 nd
经前期综合征 nd
黄体后期心境恶劣障碍 nd
经前紧张症 nd
晚黄体期焦虑症 nd
新生儿肺炎 nd
小儿肺炎 nd
新生儿吸入性肺炎和感染性肺炎 nd
气管炎 nd
急性乳腺炎 nd
急性乳房炎 nd
乳痈 nd
皮肤癌 nd
血小板减少症 nd
慢性肾功能衰竭 nd
慢性肾衰 nd
肾功能不全 nd
肾衰 nd
干眼症 nd
肝血管瘤 nd
跖疣 nd
牛程蹇 nd
瘊子 nd
男性生殖器畸形 nd
急性咽炎 nd
小儿支气管肺炎 nd
小儿肺炎 nd
小儿细支气管肺泡炎 nd
小儿小叶性肺炎 nd
肛周脓肿 nd
皮脂腺囊肿 nd
粉瘤 nd
皮脂囊肿 nd
慢性淋巴结炎 nd
胃下垂 nd
低位胃 nd
胃缓 nd
干燥综合征 nd
舍格伦综合征 nd
斯约格伦综合征 nd
自身免疫性外分泌腺病 nd
古-豪二氏综合征 nd
真两性畸形 nd
真两性体 nd
慢性扁桃体炎 nd
乳蛾 nd
急性子宫内膜炎 nd
子宫内膜炎 nd
子宫炎 nd
智齿冠周炎 nd
下肢深静脉血栓形成 nd
蛛网膜下腔出血 nd
脑出血 nd
蛛网膜下出血 nd
小儿营养不良 nd
鸡胸 nd
楔状胸 nd
驼胸 nd
锥形胸 nd
胸肌裂 nd
小儿多动症 nd
注意缺陷障碍 nd
儿童多动综合征 nd
脑功能轻微失调 nd
轻微脑功能障碍综合征 nd
结肠息肉 nd
重症肌无力 nd
获得性自身免疫性重症肌无力 nd
假麻痹性重症肌无力 nd
肌痿 nd
肉痿 nd
肝胆湿热 nd
中耳炎 nd
肝胆管结石 nd
肝内胆管结石 nd
输尿管结石 nd
脑震荡 nd
皮肤病 nd
急性胆囊炎 nd
胆囊炎 nd
胆瘅 nd
川崎病 nd
慢性盆腔炎 nd
睡美人症候群 nd
克莱恩-莱文综合症 nd
单纯性牙周炎 nd
牙周炎 nd
面瘫 nd
Bell麻痹 nd
特发性面神经麻痹 nd
面神经麻痹 nd
面神经炎 nd
歪嘴巴 nd
歪歪嘴 nd
吊线风 nd
吊斜风 nd
歪嘴风 nd
疱疹性咽峡炎 nd
风热感冒 nd
Ⅱ度宫颈糜烂 nd
中度宫颈糜烂 nd
猩红热 nd
烂喉丹痧 nd
鱼鳞病 nd
蛇皮癣 nd
前置胎盘 nd
丙型病毒性肝炎 nd
丙型肝炎 nd
花斑癣 nd
汗斑变色糠疹 nd
痱子 nd
热痱红色粟粒疹 nd
热痱 nd
斑秃 nd
病毒性肝炎 nd
眩晕 nd
前庭系统性眩晕 nd
前庭性眩晕 nd
真性眩晕 nd
性变态 nd
良性前列腺增生 nd
多发性骨髓瘤 nd
骨髓瘤 nd
赫珀特病 nd
赫珀特氏病 nd
浆细胞骨髓瘤 nd
睾丸扭转 nd
精索扭转 nd
EB病毒感染 nd
阴道痉挛 nd
性交恐惧症 nd
支气管哮喘 nd
哮病 nd
哮喘 nd
哮症 nd
哮证 nd
丘疹性荨麻疹 nd
急性单纯性痒疹 nd
荨麻疹性苔藓 nd
小儿荨麻疹性苔藓 nd
婴儿苔藓 nd
虫咬皮炎 nd
末梢神经炎 nd
多发性神经炎 nd
多发性周围神经炎 nd
性障碍 nd
老年人睡眠障碍 nd
老年睡眠障碍 nd
下肢静脉曲张 nd
急性腰扭伤 nd
阳虚 nd
病毒性心肌炎 nd
多汗症 nd
自汗 nd
盗汗 nd
汗证 nd
不孕不育 nd
胃息肉 nd
鞘膜积液 nd
脑瘤 nd
脑肿瘤 nd
颅内肿瘤 nd
脑癌 nd
内风 nd
外阴白色病变 nd
外阴白色病损 nd
外阴白斑 nd
外阴营养不良 nd
汞中毒 nd
弱视 nd
皮炎 nd
皮肤炎症 nd
内痔 nd
痔疮 nd
肠易激综合征 nd
肠道易激综合征 nd
应激性结肠综合征 nd
皮肤瘙痒症 nd
新生儿缺氧缺血性脑病 nd
结核性胸膜炎 nd
网球肘 nd
桡侧伸腕肌肌腱损伤 nd
肱骨外上髁炎 nd
桡肱骨粘液囊炎 nd
手足癣 nd
手癣 nd
足癣 nd
香港脚 nd
功能性消化不良 nd
腮腺炎 nd
乳腺囊性增生症 nd
乳腺增生症 nd
良性乳腺结构不良 nd
自然流产 nd
自发流产 nd
自发性流产 nd
Ⅲ度宫颈糜烂 nd
重度宫颈糜烂 nd
病毒性脑膜炎 nd
病毒性脑炎 nd
散发性脑炎 nd
慢性肝炎 nd
细菌性痢疾 nd
菌痢 nd
志贺菌病 nd
过敏性哮喘 nd
冻疮 nd
肾炎 nd
慢性荨麻疹 nd
酒精中毒 nd
乙醇中毒 nd
酒厥 nd
口腔念珠菌病 nd
鹅口疮 nd
雪口病 nd
单纯性下肢静脉曲张 nd
下肢静脉曲张 nd
肺热咳嗽 nd
单纯疱疹 nd
单纯性疱疹 nd
热疮 nd
男性尖锐湿疣 nd
视网膜脱落 nd
原发性视网膜脱离 nd
视网膜剥离 nd
视网膜神经上皮层脱离 nd
阴道白斑 nd
女阴白斑 nd
阴道白斑病 nd
阵发性室上性心动过速 nd
室上速 nd
老年期抑郁障碍 nd
癔症 nd
阿斯匹林不耐受三联症 nd
Wiolal综合征 nd
蛲虫病 nd
扁桃体炎 nd
潜伏梅毒 nd
Ⅰ度宫颈糜烂 nd
轻度宫颈糜烂 nd
神经症 nd
神经官能症 nd
溶血性贫血 nd
胃、十二指肠溃疡出血 nd
母乳性黄疸 nd
喂养性黄疸 nd
糖尿病酮症酸中毒 nd
酮症酸中毒 nd
女性尖锐湿疣 nd
人格障碍 nd
病态人格 nd
异常人格 nd
血尿 nd
口腔扁平苔藓 nd
静脉炎 nd
血栓性静脉炎 nd
脉管炎 nd
肛周湿疹 nd
慢性腹泻 nd
突发性耳聋 nd
药物过敏 nd
糖尿病肾病 nd
尿布疹 nd
婴儿红臀 nd
尿布湿疹 nd
接触性皮炎 nd
马桶癣 nd
漆疮 nd
膏药风 nd
粉花疮 nd
腱鞘囊肿 nd
早产 nd
肥胖症 nd
滴虫性外阴炎 nd
营养不良 nd
外阴毛囊炎 nd
外阴脓疱性毛囊炎 nd
单纯疱疹病毒感染症 nd
单纯疱疹 nd
疟疾 nd
打摆子 nd
瘴气 nd
屈光不正 nd
煤气中毒 nd
一氧化碳中毒 nd
碳氧血红蛋白血 nd
碳氧血红蛋白血症 nd
胆囊癌 nd
白化病 nd
腹股沟肉芽肿 nd
杜诺凡病 nd
伤寒 nd
肠热病 nd
伤寒病 nd
伤寒症 nd
膝关节半月板损伤 nd
轮状病毒性肠炎 nd
轮状病毒性胃肠炎 nd
婴儿秋季腹泻 nd
肾虚腰痛 nd
肝阳上亢 nd
肝阳上逆 nd
肝阳偏旺 nd
少精症 nd
少精子症 nd
视网膜病变 nd
黄斑病变 nd
Rieger中心性视网膜炎 nd
青年性出血性黄斑病变 nd
铅中毒 nd
手癣 nd
鹅掌风 nd
外阴溃疡 nd
外阴溃疡病 nd
翼状胬肉 nd
胬肉攀睛 nd
丹毒 nd
产后出血 nd
垂体瘤 nd
脑垂体瘤 nd
垂体腺瘤 nd
脑垂体腺瘤 nd
胆囊结石 nd
结石性胆囊炎 nd
梅核气 nd
低钾血症 nd
钾缺乏 nd
脑梗死 nd
脑梗塞 nd
三期梅毒 nd
晚期梅毒 nd
胆管癌 nd
胆管细胞癌 nd
难产 nd
骨产道异常 nd
阿米巴性阴道炎 nd
瘙痒症 nd
外阴湿疹 nd
外阴湿疹病 nd
癣菌疹 nd
毛(发)癣菌疹 nd
毛癣菌疹 nd
舌癌 nd
舌岩 nd
舌疳 nd
慢性子宫内膜炎 nd
子宫内膜炎 nd
老年性子宫内膜炎 nd
结核性子宫内膜炎 nd
急性白血病 nd
念珠菌性阴道炎 nd
小儿支原体肺炎 nd
小儿冷凝集阳性肺炎 nd
小儿MP肺炎 nd
原发性非典型肺炎 nd
阻塞性肺气肿 nd
慢性阻塞性肺气肿 nd
肺胀 nd
COPD nd
男子乳房发育症 nd
牙龈癌 nd
急性心肌梗死 nd
急性心肌梗塞 nd
急性心梗 nd
新生儿败血症 nd
胎热 nd
胎毒 nd
疮毒走黄 nd
躁狂症 nd
子宫内膜息肉 nd
恶性淋巴瘤 nd
胸膜炎 nd
肋骨骨折 nd
鼻中隔偏曲 nd
子宫内膜增生 nd
急性喉炎 nd
喉粘膜急性卡他性炎症 nd
风湿热 nd
急性风湿病 nd
急性风湿性多关节炎 nd
胃肠炎 nd
结节性甲状腺肿 nd
腺瘤样甲状腺肿 nd
瘢痕疙瘩 nd
疤痕 nd
慢性粒细胞性白血病 nd
CML nd
慢性髓性白血病 nd
CGL nd
系统性红斑狼疮 nd
全身性红斑狼疮 nd
肛窦炎 nd
肛隐窝炎 nd
肺气虚 nd
血友病 nd
血溢病 nd
月经过多 nd
月经量多 nd
急性肾盂肾炎 nd
肾盂肾炎 nd
肾瘅 nd
散光 nd
乱视眼 nd
膝关节骨性关节炎 nd
膝痹 nd
羊水过多 nd
羊水过多症 nd
脑积水 nd
胸腺瘤 nd
高血压危象 nd
头癣 nd
头癣 nd
阴癣 nd
圆癣 nd
疠疡风 nd
紫白癜风 nd
黄癣、白癣、黑癣 nd
三叉神经痛 nd
法沙吉尔氏神经痛 nd
痛性抽搐 nd
面风痛 nd
肌腱炎和腱鞘炎 nd
肌腱炎 nd
腱鞘炎 nd
淋病合并症精囊炎 nd
甲状腺炎 nd
急性宫颈炎 nd
急性子宫颈炎 nd
宫颈炎 nd
子宫颈炎 nd
硬皮病 nd
痹症 nd
胶原沉着病 nd
皮痹 nd
系统性硬化症 nd
血痹 nd
进行性全身性硬化症 nd
肺栓塞 nd
肺动脉栓塞 nd
直肠脱垂 nd
脱肛 nd
直肠脱出 nd
秃头 nd
早秃 nd
男式脱发 nd
家族性秃发 nd
寻常秃发 nd
谢顶 nd
急性淋巴结炎 nd
扁平苔癣 nd
扁平苔藓 nd
扁平红苔癣 nd
紫癜风 nd
膀胱结石 nd
巨细胞病毒感染 nd
抑郁性神经症 nd
心境恶劣障碍 nd
蚕豆病 nd
儿童腹痛 nd
外耳道炎 nd
外耳道疖 nd
弥漫性外耳道炎 nd
早期乳腺癌 nd
寻常疣 nd
刺瘊 nd
瘊子 nd
枯筋箭 nd
千日疮 nd
疣目 nd
神经根型颈椎病 nd
食管炎 nd
腰腿痛 nd
酒渣鼻 nd
酒渣性痤疮 nd
玫瑰痤疮 nd
酒糟鼻 nd
男性更年期综合症 nd
老年期抑郁症 nd
儿童遗尿症 nd
羊水栓塞 nd
AFE nd
高泌乳素血症 nd
闭经-泌乳综合征 nd
腺样体肥大 nd
肠癌 nd
心脾两虚 nd
心肾不交 nd
肋间神经痛 nd
乳腺炎 nd
幼女性外阴阴道炎 nd
幼女性外阴炎 nd
幼女性阴道炎 nd
肺动脉高压 nd
肺动脉高血压 nd
肺动脉高血压症 nd
肺动脉高压症 nd
肺动脉血压过高 nd
颞下颌关节紊乱综合征 nd
幽门梗阻 nd
胃反 nd
单纯性外阴炎 nd
外阴部的皮肤或粘膜发炎 nd
白塞病 nd
丝绸之路病 nd
白赛综合征 nd
贝赫切特病 nd
尿失禁 nd
急性淋巴细胞性白血病 nd
急淋 nd
ALL nd
急性白血病 nd
结核病 nd
百草枯中毒 nd
滑囊炎 nd
粘液囊炎 nd
髌骨软化症 nd
髌骨软骨软化症 nd
髌骨软骨炎 nd
胃食管反流病 nd
胃食管返流病 nd
胃食管返流疾病 nd
老年性黄斑变性 nd
衰老性黄斑变性 nd
AMD nd
隐睾 nd
小儿流行性感冒 nd
小儿感冒 nd
小儿流感 nd
肛门瘙痒症 nd
老年斑 nd
寿斑 nd
老年性色素斑(痣) nd
染色体异常 nd
染色体病 nd
染色体发育不全 nd
染色体畸变 nd
急性鼻炎 nd
鼻腔粘膜的急性炎性疾病 nd
伤风 nd
感冒 nd
睾丸肿瘤 nd
睾丸突出 nd
男胚瘤 nd
男性细胞瘤 nd
阴囊疝 nd
崩漏 nd
股骨颈骨折 nd
咳嗽性哮喘 nd
咳嗽变异性哮喘 nd
右束支传导阻滞 nd
右束支阻滞 nd
妊娠期糖尿病 nd
妊娠合并糖尿病 nd
妊娠性糖尿病 nd
I型糖尿病 nd
1型糖尿病 nd
胰岛素依赖型糖尿病 nd
IDDM nd
青少年糖尿病 nd
前列腺结石 nd
Barrett食管 nd
BE nd
食管下段柱状上皮化生 nd
胸腔积液 nd
胸液 nd
胸水 nd
胸膜渗出 nd
胸膜渗出液 nd
淋球菌感染 nd
淋病奈瑟菌感染 nd
淋病奈瑟球菌感染 nd
淋病奈瑟氏菌感染 nd
